,exchange,global_id,payload,timetsamp
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'3164353ee5e34a5c9421ecf8f5e1f673', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'49628f59-9462-4eb9-96fc-9bbd7fe41cc7'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'0d66aaec60a14670889091f1da29afa9', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'59bfae53ae8a4d0784d7c5a09205b575', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'eb8abcf9-8c83-4841-9aa8-735d0c7149bf'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'c243716ad13d42149563add9e0a3d508', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'85b1ee9181d84cb8a5c1f4cd68790a05', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'2924467a-2acb-4260-b895-de3b3405ea49'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'f37a5655bccd434aa4bba1f436c27a9f', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'9e39794206854a00b7e8c8c51290d5ba', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'3966121d-dead-4ed8-81fd-66297990eefc'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'fea0c370487146a2b45ad83950765734', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'966f7bac68cc41328cccfab1cede813a', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'f6f38dab-69cc-4ac4-914a-306403f5c3f6'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'1ddf7dcc5cc945f78b68c9380eac4355', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'e0c5c80a886b4e3cbcf4cf6190f83d2d', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'bb604292-9709-483e-afeb-fb888b15589c'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'fa2282ec27254b72b19e1ec30e1b8724', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'b7b114098a0140369cb864b57db5cb63', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'091e3d9a-9c50-4ab1-8cdd-a7e078f7c41b'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_unique_id': u'9652ebe819384c289acd7eaf9571f1be', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'272b262ffccc42dd98631af912e2f70f', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'31cf6d82-d3f5-4d7d-b612-605fd742a42c'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'9a78f27880454b37a69899a57200cc96', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_msg_id': u'08c7552cb9e24ccab8e4b2b86f8c669e', u'_context_quota_class': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'37a2c732-d120-4eee-9dd2-748c50432c9d'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'90a6cda952734d19b08ee62d03f8cfb9', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
0,none,0,"[{u'_context_domain': None, u'_context_request_id': u'req-b24b2c96-6cd4-4151-987f-a62c6ff2c688', u'_context_quota_class': None, u'_msg_id': u'c94799c68c9d4d20b9fc9e5303c323d0', u'_context_service_catalog': [], u'_context_auth_token': None, u'_context_resource_uuid': None, u'_context_user_id': None, u'_reply_q': u'reply_326cd329aec84a9b89f0abc50585d91e', u'_context_show_deleted': False, u'_context_is_admin': True, u'version': u'2.0', u'_context_timestamp': u'2017-08-15T21:39:21.429259', u'_context_project_domain': None, u'_context_user': None, u'method': u'object_class_action', u'_context_remote_address': None, u'_context_roles': [], u'args': {u'objver': u'1.1', u'objmethod': u'get_by_instance_uuid', u'args': [u'4adaa37a-5f4f-4251-a233-40274e2a8ee2'], u'objname': u'InstancePCIRequests', u'kwargs': {}}, u'_unique_id': u'49d210babb404d1b9c23b5eebf214262', u'_context_project_name': None, u'_context_read_deleted': u'no', u'_context_user_identity': u'- - - - -', u'_context_tenant': None, u'_context_instance_lock_checked': False, u'_context_project_id': None, u'_context_read_only': False, u'_context_user_domain': None, u'_context_user_name': None}]",0.0
